"","timestamp","Fix.Attempt","Latitude","Longitude","Altitude","Speed","Heading","Horizontal.Error","Horizontal.Dilution","GPS.Satellite.Count","GPS.Navigation.Time","individual.local.identifier"
"1","2014-09-12 02:00:00","Succeeded (3D)",-19.2972942961542,-55.8268476404959,166,0.07,47.1,7.54,1.6,5,35,"1"
"2","2014-09-12 03:00:00","Succeeded (3D)",-19.2971591918283,-55.826915220007,139,0.35,104.8,9.9,1,6,46,"1"
"3","2014-09-12 04:00:00","Resolved QFP",-19.2973029036004,-55.8267809625323,119,NA,NA,NA,1.5,6,90,"1"
"4","2014-09-12 05:00:00","Succeeded (3D)",-19.2972949076019,-55.8269428027266,126,0.25,279.1,4.05,1,7,35,"1"
"5","2014-09-12 06:00:00","Succeeded (3D)",-19.297322075213,-55.8269521257651,124,0,113.2,3.2,1.2,6,23,"1"
"6","2014-09-12 07:00:00","Succeeded (3D)",-19.2972316591741,-55.8269432534933,135,0.17,48.5,13.6,1.6,5,46,"1"
"7","2014-09-12 08:00:00","Succeeded (3D)",-19.297250035858,-55.8269907058066,115,0.07,207.4,6.84,1,6,35,"1"
"8","2014-09-12 09:00:00","Succeeded (3D)",-19.2971864817254,-55.8269435754684,129,0.13,228.5,9.7,1,8,48,"1"
"9","2014-09-12 10:00:00","Succeeded (3D)",-19.2973314775453,-55.827009158723,126,0,304.5,9.54,1.4,6,37,"1"
"10","2014-09-12 11:00:00","Succeeded (3D)",-19.2972230516666,-55.8270099314228,118,0.06,102,9.99,2.8,5,31,"1"
"11","2014-09-12 12:00:00","Succeeded (3D)",-19.2972591324873,-55.8270001576354,148,0.39,263.7,10.72,1.8,5,82,"1"
"12","2014-09-12 13:00:00","Succeeded (3D)",-19.2971224995606,-55.8268298316748,105,0,232.7,29.86,1.6,7,47,"1"
"13","2014-09-12 14:00:00","Succeeded (3D)",-19.2972407558057,-55.8269527053183,111,0,96.3,16.64,1,9,46,"1"
"14","2014-09-12 15:00:00","Succeeded (3D)",-19.2972135881947,-55.8269433822835,129,0,49.9,9.99,1,9,26,"1"
"15","2014-09-12 16:00:00","Succeeded (3D)",-19.2972677399905,-55.8269334796909,116,0,116,4.19,1.4,8,12,"1"
"16","2014-09-12 17:00:00","Succeeded (3D)",-19.2972770200471,-55.826971480184,125,0,68.2,9.96,1.4,9,38,"1"
"17","2014-09-12 18:00:00","Succeeded (3D)",-19.2972671896861,-55.8268478336975,161,0.1,93.5,10.68,2.4,6,49,"1"
"18","2014-09-12 19:00:00","Succeeded (3D)",-19.297159375256,-55.8269437686531,125,0.46,206,9.86,1,8,34,"1"
"19","2014-09-12 20:00:00","Succeeded (3D)",-19.2972765309053,-55.8268953504067,115,0.08,194.8,8.77,1.2,6,7,"1"
"20","2014-09-12 21:00:00","Succeeded (3D)",-19.2970858684065,-55.8267539595931,122,0.37,72.4,9.78,1.4,6,19,"1"
"21","2014-09-12 22:00:00","Resolved QFP",-19.2971960674727,-55.8270291570325,145,NA,NA,NA,1.1,8,90,"1"
"22","2014-09-12 23:00:00","Succeeded (3D)",-19.2972135270524,-55.8269338660649,140,0.16,149.8,8.2,1.4,6,41,"1"
"23","2014-09-13 00:00:00","Succeeded (3D)",-19.2971864817254,-55.8269435754684,114,0,182.1,10.73,1,7,45,"1"
"24","2014-09-13 01:00:00","Succeeded (3D)",-19.2972134659096,-55.8269243498464,120,0,210.2,15.56,1.2,6,45,"1"
"25","2014-09-13 02:00:00","Succeeded (3D)",-19.2972586433579,-55.8269240278655,126,0,69.6,12.6,1.2,5,45,"1"
"26","2014-09-13 03:00:00","Succeeded (3D)",-19.2971428326658,-55.8271818028132,169,0,318.5,14.14,1,7,45,"1"
"27","2014-09-13 04:00:00","Succeeded (3D)",-19.297303820806,-55.8269237058837,123,0.11,102,11.94,1.2,6,45,"1"
"28","2014-09-13 05:00:00","Succeeded (3D)",-19.2972401443648,-55.8268575431186,145,0.01,106.2,7.92,1.2,6,9,"1"
"29","2014-09-13 06:00:00","Succeeded (3D)",-19.2972141384527,-55.8270290282518,136,0,138.5,3.78,1.4,5,29,"1"
"30","2014-09-13 07:00:00","Succeeded (3D)",-19.2972674342708,-55.8268858985831,142,0.12,294.6,13.04,1.6,5,60,"1"
"31","2014-09-13 08:00:00","Succeeded (3D)",-19.2971685330286,-55.8269627366902,124,0,80.9,14.62,1.4,5,45,"1"
"32","2014-09-13 09:00:00","Succeeded (3D)",-19.2972047972689,-55.8269815115509,124,0.43,228.5,8.7,1,6,34,"1"
"33","2014-09-13 10:00:00","Succeeded (3D)",-19.2971866040082,-55.8269626079025,116,0,120.2,16.6,1,7,46,"1"
"34","2014-09-13 11:00:00","Succeeded (3D)",-19.2971685941692,-55.8269722529062,107,0,206,11.7,1.2,8,46,"1"
"35","2014-09-13 12:00:00","Succeeded (3D)",-19.2971856256899,-55.8268103484343,129,0.26,28.8,9.61,1.6,6,24,"1"
"36","2014-09-13 13:00:00","Succeeded (3D)",-19.2971950280636,-55.8268673813346,133,0,58.4,18.48,1,9,46,"1"
"37","2014-09-13 14:00:00","Succeeded (3D)",-19.2972133436226,-55.8269053174096,118,0,238.4,9.93,1.2,7,26,"1"
"38","2014-09-13 15:00:00","Succeeded (3D)",-19.2972140161766,-55.8270099958142,153,0,289,9.96,1.2,7,13,"1"
"39","2014-09-13 16:00:00","Succeeded (3D)",-19.2972225013993,-55.8269242854503,140,0,162.4,12.7,1.2,5,46,"1"
"40","2014-09-13 17:00:00","Succeeded (3D)",-19.2972137716185,-55.8269719309393,126,0.36,184.9,9.64,1.6,5,32,"1"
"41","2014-09-13 18:00:00","Succeeded (3D)",-19.2971863594405,-55.8269245430346,131,0,141.3,3.81,1,7,36,"1"
"42","2014-09-13 19:00:00","Succeeded (3D)",-19.2972402055111,-55.8268670593384,126,0,104.8,15.43,1,7,46,"1"
"43","2014-09-13 20:00:00","Succeeded (3D)",-19.2971139532363,-55.8269060257759,119,0,183.5,9.93,1.4,6,36,"1"
"44","2014-09-13 21:00:00","Succeeded (3D)",-19.2973230534198,-55.8271043853673,102,0.31,166.6,31.26,1.8,5,47,"1"
"45","2014-09-13 22:00:00","Succeeded (3D)",-19.2973582171716,-55.826951868185,137,0,40.1,55.74,1.4,5,45,"1"
"46","2014-09-13 23:00:00","Succeeded (3D)",-19.2972589490675,-55.8269716089714,129,0.09,113.2,9.87,2.4,5,32,"1"
"47","2014-09-14 00:00:00","Succeeded (3D)",-19.2972315980318,-55.8269337372737,107,0.36,249.6,4.49,1,7,35,"1"
"48","2014-09-14 01:00:00","Succeeded (3D)",-19.2972043692767,-55.8269148980246,117,0,334,9.97,1,7,44,"1"
"49","2014-09-14 02:00:00","Succeeded (3D)",-19.2972133436226,-55.8269053174096,127,0,346.6,13.46,1.2,6,45,"1"
"50","2014-09-14 03:00:00","Succeeded (3D)",-19.2971866040082,-55.8269626079025,135,0.13,27.4,9.76,0.8,8,42,"1"
"51","2014-09-14 04:00:00","Succeeded (3D)",-19.2972581541967,-55.826847898098,139,0.13,113.2,9.67,1.2,6,42,"1"
"52","2014-09-14 05:00:00","Succeeded (3D)",-19.2972228071083,-55.8269718665458,130,0,259.5,18.58,1,7,46,"1"
"53","2014-09-14 06:00:00","Succeeded (3D)",-19.2972225625421,-55.8269338016693,130,0.31,45.7,8.8,1,7,34,"1"
"54","2014-09-14 07:00:00","Succeeded (3D)",-19.2972312923127,-55.8268861561764,138,0.17,96.3,13.94,1.6,5,46,"1"
"55","2014-09-14 08:00:00","Succeeded (3D)",-19.2972676177041,-55.8269144472476,122,0,87.9,7.07,0.8,7,34,"1"
"56","2014-09-14 09:00:00","Succeeded (3D)",-19.2971682884611,-55.8269246718265,132,0,16.2,9.78,1,8,44,"1"
"57","2014-09-14 10:00:00","Succeeded (3D)",-19.2972312311674,-55.826876639957,147,0.1,242.6,9.48,1.4,6,18,"1"
"58","2014-09-14 11:00:00","Succeeded (3D)",-19.2972396551763,-55.8267814133615,156,0.05,99.1,9.43,0.8,8,34,"1"
"59","2014-10-25 22:00:00","Succeeded (3D)",-19.3183299424638,-55.8115071129379,114,0,161,21.17,1.2,6,46,"2"
"60","2014-10-25 23:00:00","Succeeded (3D)",-19.3184026598811,-55.8115732121204,199,0.17,169.5,9.2,1.6,5,37,"2"
"61","2014-10-26 00:00:00","Succeeded (3D)",-19.3183660841374,-55.8115068516602,89,0.27,135.7,9.49,1,6,40,"2"
"62","2014-10-26 01:00:00","Succeeded (3D)",-19.3183120576591,-55.8115357957343,116,0.11,173.7,6.86,1.4,5,36,"2"
"63","2014-10-26 02:00:00","Succeeded (3D)",-19.3184747572015,-55.8115441374049,121,0.05,149.8,34.07,4.4,4,46,"2"
"64","2014-10-26 03:00:00","Succeeded (3D)",-19.318448022997,-55.811601437722,121,0.71,151.2,9.2,1.2,6,34,"2"
"65","2014-10-26 04:00:00","Succeeded (3D)",-19.3183563045438,-55.8113927083206,164,0,228.5,17.09,1.4,5,46,"2"
"66","2014-10-26 05:00:00","Succeeded (3D)",-19.3183027121846,-55.8114882741252,146,0.25,2.1,12.8,2.2,4,46,"2"
"67","2014-10-26 06:00:00","Succeeded (3D)",-19.3184474029025,-55.8115062637832,113,0.08,204.6,9.51,1.2,7,43,"2"
"68","2014-10-26 07:00:00","Succeeded (3D)",-19.3183302525152,-55.8115546998729,120,0,83.7,4.58,1.4,6,9,"2"
"69","2014-10-26 08:00:00","Succeeded (3D)",-19.3184021637988,-55.8114970729908,119,0,110.4,6.99,0.8,10,45,"2"
"70","2014-10-26 09:00:00","Succeeded (3D)",-19.3183931903925,-55.8115066557015,117,0,103.4,12.74,1,9,47,"2"
"71","2014-10-26 10:00:00","Succeeded (3D)",-19.3184204206702,-55.8115254945269,125,0,168,9.54,1.2,9,37,"2"
"72","2014-10-26 11:00:00","Succeeded (3D)",-19.3184024118439,-55.8115351425553,105,0,273.5,7.29,1.4,8,24,"2"
"73","2014-10-26 12:00:00","Succeeded (3D)",-19.3184025978726,-55.8115636947291,118,0,252.4,12.46,0.8,12,46,"2"
"74","2014-10-26 13:00:00","Succeeded (3D)",-19.3184116332911,-55.8115636294125,118,0.12,311.5,8.62,0.8,10,22,"2"
"75","2014-10-26 14:00:00","Succeeded (3D)",-19.318402473854,-55.8115446599465,113,0,41.5,13.57,0.8,10,46,"2"
"76","2014-10-26 15:00:00","Succeeded (3D)",-19.3184205446909,-55.8115445293113,117,0.1,177.9,9.06,1,8,24,"2"
"77","2014-10-26 16:00:00","Succeeded (3D)",-19.3183933764255,-55.8115352078734,110,0,173.7,8.4,1.6,7,23,"2"
"78","2014-10-26 17:00:00","Succeeded (3D)",-19.3183845270355,-55.811563825362,127,0,134.3,7.54,0.8,9,34,"2"
"79","2014-10-26 18:00:00","Succeeded (3D)",-19.3183753055886,-55.8115353385094,129,0.14,28.8,9.12,1.2,6,34,"2"
"80","2014-10-26 19:00:00","Succeeded (3D)",-19.3183752435781,-55.8115258211198,122,0,44.3,8.57,1.2,6,39,"2"
"81","2014-10-26 20:00:00","Succeeded (3D)",-19.3183842789966,-55.8115257558013,113,0.12,303,8.1,1.2,7,34,"2"
"82","2014-10-26 21:00:00","Succeeded (3D)",-19.3184202966475,-55.8115064597425,106,0,322.7,9.6,1,7,44,"2"
"83","2014-10-26 22:00:00","Succeeded (3D)",-19.3183656500436,-55.8114402299381,106,0.22,277.7,9.56,1,6,34,"2"
"84","2014-10-26 23:00:00","Succeeded (3D)",-19.318330314524,-55.81156421726,81,0,111.8,14.36,1.4,5,37,"2"
"85","2014-10-27 00:00:00","Succeeded (3D)",-19.3184382434594,-55.8114872943167,103,0.22,329.8,7.75,1,6,34,"2"
"86","2014-10-27 01:00:00","Succeeded (3D)",-19.3182488097291,-55.8115362529574,145,0.44,172.3,11.92,1.6,4,46,"2"
"87","2014-10-27 02:00:00","Succeeded (3D)",-19.3183485713848,-55.8115926387922,129,0,272.1,4.68,1.2,6,34,"2"
"88","2014-10-27 03:00:00","Succeeded (3D)",-19.3184122533546,-55.8116588033327,127,0,321.3,21.13,0.8,8,46,"2"
"89","2014-10-27 04:00:00","Succeeded (3D)",-19.3185199963033,-55.8115533282133,140,0,120.2,18.31,1.4,6,46,"2"
"90","2014-10-27 05:00:00","Succeeded (3D)",-19.3184841646714,-55.8116011764633,133,0,282,2.84,1.8,6,26,"2"
"91","2014-10-27 06:00:00","Succeeded (3D)",-19.3183844650265,-55.8115543079718,129,0.11,353.7,8.74,1.2,7,35,"2"
"92","2014-10-27 07:00:00","Succeeded (3D)",-19.3184202346354,-55.8114969423504,129,0.21,94.9,9.92,1.4,6,7,"2"
"93","2014-10-27 08:00:00","Succeeded (3D)",-19.3184205446909,-55.8115445293113,116,0.16,175.1,9.89,3,5,26,"2"
"94","2014-10-27 09:00:00","Succeeded (3D)",-19.3183842789966,-55.8115257558013,121,0,55.5,26.95,1,9,46,"2"
"95","2014-10-27 10:00:00","Succeeded (3D)",-19.3184022878224,-55.811516107773,114,0.11,128.7,9.97,1.2,8,11,"2"
"96","2014-10-27 11:00:00","Succeeded (3D)",-19.3184388015553,-55.8115729508561,125,0,286.2,19.3,1,9,46,"2"
"97","2014-10-27 12:00:00","Succeeded (3D)",-19.3183477652503,-55.8114689127476,125,0.13,72.4,9.37,1.6,7,11,"2"
"98","2014-10-27 13:00:00","Succeeded (3D)",-19.3184209787477,-55.8116111510582,125,0.1,203.2,7.77,2,5,35,"2"
"99","2014-10-27 14:00:00","Succeeded (3D)",-19.3183748094911,-55.8114591993935,145,0,103.4,9.9,0.8,10,34,"2"
"100","2014-10-27 15:00:00","Succeeded (3D)",-19.3184205446909,-55.8115445293113,118,0.28,152.6,8.89,1,9,22,"2"
"101","2014-10-27 16:00:00","Succeeded (3D)",-19.3184294560886,-55.8115254292082,127,0.23,78,9.65,1.2,5,34,"2"
"102","2014-10-27 17:00:00","Succeeded (3D)",-19.318393562454,-55.8115637600456,133,0.19,52.7,7.69,1,8,34,"2"
"103","2014-10-27 18:00:00","Succeeded (3D)",-19.3183938104852,-55.811601829609,156,0,30.2,9.99,1.2,6,22,"2"
"104","2014-10-27 19:00:00","Succeeded (3D)",-19.3182764740535,-55.8116217134612,127,0.01,241.2,9.89,0.8,8,35,"2"
"105","2014-10-27 20:00:00","Succeeded (3D)",-19.3182853234538,-55.8115930959943,89,0.09,324.1,9.95,1.8,5,21,"2"
"106","2014-10-27 21:00:00","Succeeded (3D)",-19.3184567483744,-55.8115537854349,96,0,176.5,27.47,1.2,5,46,"2"
"107","2014-10-27 22:00:00","Succeeded (3D)",-19.3184746331804,-55.8115251026141,132,0.19,163.8,28.27,2.8,4,46,"2"
"108","2014-10-27 23:00:00","Succeeded (3D)",-19.3184201726228,-55.8114874249583,92,0.17,76.6,8.71,1,7,34,"2"
"109","2014-10-28 00:00:00","Succeeded (3D)",-19.3183485713848,-55.8115926387922,162,0.11,317.1,5.6,1,7,23,"2"
"110","2014-10-28 01:00:00","Succeeded (3D)",-19.3184022878224,-55.811516107773,115,0,161,10.93,1,7,46,"2"
"111","2014-10-28 02:00:00","Succeeded (3D)",-19.3183751815672,-55.8115163037302,127,0.14,134.3,9.77,1.2,6,6,"2"
"112","2014-10-28 03:00:00","Succeeded (3D)",-19.3182850754222,-55.8115550264562,120,0.02,318.5,9.19,1.4,5,17,"2"
"113","2014-10-28 04:00:00","Succeeded (3D)",-19.3184386155278,-55.811544398676,120,0,208.8,54.58,1.8,5,46,"2"
"114","2014-10-28 05:00:00","Succeeded (3D)",-19.3183661461488,-55.8115163690492,134,0.26,235.5,9.39,2.2,5,6,"2"
"115","2014-10-28 06:00:00","Succeeded (3D)",-19.3184023498334,-55.8115256251641,130,0.23,262.3,9.46,1.2,7,34,"2"
"116","2014-10-28 07:00:00","Succeeded (3D)",-19.3183571727412,-55.8115259517567,118,0.18,7.7,9.6,1.4,6,5,"2"
"117","2014-10-28 08:00:00","Succeeded (3D)",-19.3184199865821,-55.8114588727823,137,0.11,142.7,8.92,3.4,5,12,"2"
"118","2014-10-28 09:00:00","Succeeded (3D)",-19.318411571282,-55.8115541120207,115,0,137.1,13.24,1,9,46,"2"
"119","2014-10-28 10:00:00","Succeeded (3D)",-19.3184204206702,-55.8115254945269,129,0.3,75.2,8.73,1.2,8,7,"2"
"120","2014-10-28 11:00:00","Succeeded (3D)",-19.318384651052,-55.8115828601426,132,0,286.2,9.98,1,9,45,"2"
"121","2014-10-28 12:00:00","Succeeded (3D)",-19.3184025358635,-55.8115541773378,124,0,319.9,13.11,0.8,11,46,"2"
"122","2014-10-28 13:00:00","Succeeded (3D)",-19.318384403017,-55.8115447905816,120,0.03,229.9,7.44,0.6,12,34,"2"
"123","2014-10-28 14:00:00","Succeeded (3D)",-19.3184478369738,-55.81157288554,104,0,199,11.93,0.8,11,46,"2"
"124","2014-10-28 15:00:00","Succeeded (3D)",-19.318393252404,-55.8115161730921,118,0,17.6,9.22,1,9,34,"2"
"125","2014-10-28 16:00:00","Succeeded (3D)",-19.3184206687096,-55.811563564096,122,0,249.6,17.1,1,7,46,"2"
"126","2014-10-28 17:00:00","Succeeded (3D)",-19.318465597762,-55.811525167933,106,0.04,4.9,7.21,1,7,13,"2"
"127","2014-10-28 18:00:00","Succeeded (3D)",-19.3183662701701,-55.8115354038273,124,0,134.3,2.22,0.8,8,40,"2"
"128","2014-10-28 19:00:00","Succeeded (3D)",-19.3183926322667,-55.8114209991879,134,0.22,62.6,9.14,1,7,11,"2"
"129","2014-10-28 20:00:00","Succeeded (3D)",-19.3184206687096,-55.811563564096,117,0.07,228.5,15.31,1.4,4,46,"2"
"130","2014-08-15 22:00:00","Succeeded (3D)",-19.2970247988294,-55.8089488008937,121,0,19,18.3,0.6,5,48,"3"
"131","2014-08-15 23:00:00","Succeeded (3D)",-19.297006603808,-55.8089298993686,121,0,48.5,11.23,0.7,6,48,"3"
"132","2014-08-16 00:00:00","Succeeded (3D)",-19.2970790734948,-55.8089579247496,129,0.04,59.8,9.79,0.6,5,21,"3"
"133","2014-08-16 01:00:00","Succeeded (3D)",-19.2970423730414,-55.8088725409573,153,0,120.2,15.36,0.6,7,46,"3"
"134","2014-08-16 02:00:00","Succeeded (3D)",-19.2970068521246,-55.8089679639469,124,0.11,100.5,9.89,0.6,6,8,"3"
"135","2014-08-16 03:00:00","Succeeded (3D)",-19.2970429317706,-55.8089581862763,123,0.09,110.4,9.96,1,5,22,"3"
"136","2014-08-16 04:00:00","Succeeded (2D)",-19.2971136630881,-55.8087197594615,137,0.05,180.7,655.35,4,3,90,"3"
"137","2014-08-16 05:00:00","Succeeded (3D)",-19.2971235056654,-55.8088434040262,134,0,142.7,51.52,2.9,4,47,"3"
"138","2014-08-16 06:00:00","Succeeded (3D)",-19.297006603808,-55.8089298993686,120,0.03,297.4,8.18,0.5,7,34,"3"
"139","2014-08-16 07:00:00","Succeeded (3D)",-19.29702467467,-55.8089297686025,133,0.04,165.2,9.68,0.6,6,8,"3"
"140","2014-08-16 08:00:00","Succeeded (3D)",-19.2970159496337,-55.8089774147112,122,0,48.5,12.94,0.5,7,46,"3"
"141","2014-08-16 09:00:00","Succeeded (3D)",-19.2970064175653,-55.8089013509352,137,0,114.6,14.51,0.5,7,47,"3"
"142","2014-08-16 10:00:00","Succeeded (3D)",-19.297015639239,-55.8089298339856,125,0.01,99.1,9.04,0.6,7,9,"3"
"143","2014-08-16 11:00:00","Succeeded (3D)",-19.2970160117111,-55.8089869308564,113,0.4,17.6,9.19,0.8,5,7,"3"
"144","2014-08-16 12:00:00","Succeeded (3D)",-19.296925036605,-55.8088924232551,99,0,13.4,29.24,1.2,4,46,"3"
"145","2014-08-16 13:00:00","Succeeded (3D)",-19.2970158875557,-55.808967898566,119,0.2,334,9.18,0.4,9,35,"3"
"146","2014-08-16 14:00:00","Succeeded (3D)",-19.2970250471423,-55.8089868654765,117,0.03,346.6,7.49,0.8,6,7,"3"
"147","2014-08-16 15:00:00","Succeeded (3D)",-19.2970066658879,-55.8089394155131,133,0,350.9,9.18,0.5,7,35,"3"
"148","2014-08-16 16:00:00","Succeeded (3D)",-19.2969794975149,-55.8089300955174,133,0,51.3,17.75,0.6,8,46,"3"
"149","2014-08-16 17:00:00","Succeeded (3D)",-19.297006603808,-55.8089298993686,126,0.84,35.9,9.61,0.5,8,9,"3"
"150","2014-08-16 18:00:00","Succeeded (3D)",-19.2970972064356,-55.8089673101359,135,1.62,267.9,7.32,0.7,6,9,"3"
"151","2014-08-16 19:00:00","Succeeded (3D)",-19.2969882846216,-55.8088919655609,140,0,201.8,29.12,1.1,7,45,"3"
"152","2014-08-16 20:00:00","Succeeded (3D)",-19.2970067900462,-55.8089584478023,120,0,312.9,60.03,0.7,6,46,"3"
"153","2014-08-16 21:00:00","Succeeded (3D)",-19.297024115928,-55.8088441232939,135,0,242.6,9.36,0.5,8,35,"3"
"154","2014-08-16 22:00:00","Succeeded (3D)",-19.297033772181,-55.8089392193655,116,0.38,241.2,9.19,0.6,7,6,"3"
"155","2014-08-16 23:00:00","Succeeded (3D)",-19.2970067279673,-55.8089489316577,128,2.16,58.4,9.29,0.7,6,7,"3"
"156","2014-08-17 00:00:00","Succeeded (3D)",-19.2969976925362,-55.8089489970396,130,0,172.3,42.54,1.2,5,45,"3"
"157","2014-08-17 01:00:00","Succeeded (3D)",-19.2969885329459,-55.8089300301345,130,0.08,170.9,7.42,0.6,7,35,"3"
"158","2014-08-17 02:00:00","Succeeded (3D)",-19.297051843043,-55.8089390886002,114,0.08,6.3,9.78,0.6,6,5,"3"
"159","2014-08-17 03:00:00","Succeeded (3D)",-19.2970157013189,-55.8089393501306,126,0.09,92.1,5.78,0.6,6,34,"3"
"160","2014-08-17 04:00:00","Succeeded (3D)",-19.2970336480205,-55.8089201870733,120,0,89.3,15.77,0.6,6,45,"3"
"161","2014-08-17 05:00:00","Succeeded (3D)",-19.2970336480205,-55.8089201870733,123,0,224.3,9.87,0.5,7,39,"3"
"162","2014-08-17 06:00:00","Succeeded (3D)",-19.2970154529962,-55.8089012855506,126,0,104.8,4.95,0.8,5,32,"3"
"163","2014-08-17 07:00:00","Succeeded (3D)",-19.2969612404106,-55.8089016778576,141,0.02,339.6,7.37,0.7,6,34,"3"
"164","2014-08-17 08:00:00","Succeeded (3D)",-19.2970157013189,-55.8089393501306,127,0,127.3,11.2,0.6,6,45,"3"
"165","2014-08-17 09:00:00","Succeeded (3D)",-19.2969886571051,-55.8089490624215,120,0,215.9,15.79,0.7,6,45,"3"
"166","2014-08-17 10:00:00","Succeeded (3D)",-19.2970158875557,-55.808967898566,112,0,14.8,6.47,0.6,6,9,"3"
"167","2014-08-17 11:00:00","Succeeded (3D)",-19.2969616128905,-55.808958774709,124,0.02,100.5,8.26,0.8,5,34,"3"
"168","2014-08-17 12:00:00","Succeeded (3D)",-19.2969885329459,-55.8089300301345,129,0,97.7,22.38,0.6,6,46,"3"
"169","2014-08-17 13:00:00","Succeeded (3D)",-19.2970610026327,-55.808958055513,128,0.05,180.7,9.51,0.7,6,26,"3"
"170","2014-08-17 14:00:00","Succeeded (3D)",-19.29702473675,-55.8089392847481,136,0,252.4,12.94,0.5,9,46,"3"
"171","2014-08-17 15:00:00","Succeeded (3D)",-19.297006603808,-55.8089298993686,129,0,222.9,8.87,0.5,8,11,"3"
"172","2014-08-17 16:00:00","Succeeded (3D)",-19.2970069142025,-55.8089774800916,135,0,47.1,10.21,0.6,8,45,"3"
"173","2014-08-17 17:00:00","Succeeded (3D)",-19.2970430559271,-55.8089772185698,123,0,192,10,0.6,8,19,"3"
"174","2014-08-17 18:00:00","Succeeded (3D)",-19.2970158875557,-55.808967898566,115,0,237,14.67,0.6,7,46,"3"
